Type,Name,Institution,Email,Order
Controlled Agent Industry,anon_ace9a7303237,inst_8f1fe45115dc,@farvet.com,Newcastle disease virus fusion protein cleavage site
Controlled Agent Industry,anon_e763b27af836,inst_e3788f26a504,@163.com,Newcastle disease virus fusion protein cleavage site
Controlled Agent Industry,anon_f28a9f9cd5dc,inst_bd3aeb81e372,@uvaxbio.com,MERS-CoV spike RBD
Controlled Agent Industry,anon_2e01827b9ebb,inst_2fe441ce21b8,@arborvita.com,H7N9 influenza HA receptor binding site
Controlled Agent Industry,anon_4c95edbbed66,inst_2fe441ce21b8,@arborvita.com,H7N9 influenza HA receptor binding site
Controlled Agent Industry,anon_d9edf69a0adc,inst_6dca370d6280,@virometix.com,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_0fa13973e600,inst_6dca370d6280,@virometix.com,Respiratory syncytial virus fusion protein
Controlled Agent Industry,anon_6389dd5d0ecd,inst_5c716e500475,Verified email at adaptvac.com,Ebola Virus Glycoprotein (GP) RBD
Controlled Agent Industry,anon_13194efc732c,inst_5c716e500475,Verified email at adaptvac.com,Ebola Virus Glycoprotein (GP) RBD
Controlled Agent Industry,anon_0f4843e60288,inst_752d37c03a1e,@immunomix.com,Merkel cell polyomavirus large T antigen (partial)
Controlled Agent Industry,anon_93f4783e78de,inst_752d37c03a1e,@immunomix.com,Merkel cell polyomavirus
General Life Science Customers,anon_04e4eb744d98,inst_ccdd3f5360c1,@dartsbio.com,Merkel cell polyomavirus large T antigen (partial)
General Life Science Customers,anon_2c944c52a551,inst_b0d694d8b05f,@dartsbio.com,Merkel cell polyomavirus large T antigen (partial)
General Life Science Customers,anon_f4671d09213d,inst_2d5109fe9d30,@fudan.edu.cn,Merkel cell polyomavirus large T antigen (partial)
General Life Science Customers,anon_192b387e11c4,inst_e5afae89b467,Verified email at cmcvellore.ac.in,Human T-lymphotropic virus Tax protein
General Life Science Customers,anon_f8c343d68edd,inst_e5afae89b467,Verified email at cmcvellore.ac.in,Human T-lymphotropic virus Tax protein
General Life Science Customers,anon_00bb15cb90cc,inst_e5afae89b467,Verified email at cmcvellore.ac.in,Human T-lymphotropic virus Tax protein
General Life Science Customers,anon_24f9ab05bf67,inst_e5afae89b467,@cmcvellore.ac.in,Human T-lymphotropic virus Tax protein
General Life Science Customers,anon_09e96d15e643,inst_e5afae89b467,@cmcvellore.ac.in,Human T-lymphotropic virus Tax protein
General Life Science Customers,anon_bcc021a2a602,inst_a1c78b783be3,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_ca242cf55613,inst_84300b394190,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_c9a318d306b4,inst_c610de0261b2,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_3ef4d9d5454b,inst_d73aca24a84f,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_6cb0c23985fb,inst_a1c78b783be3,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_c461c6f92833,inst_a1c78b783be3,@qq.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_b5821ed2cdf2,inst_a1c78b783be3,@zstu.edu.cn,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_a1bf73b1dc03,inst_a1c78b783be3,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_998e0af13a70,inst_a1c78b783be3,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_c061e006777a,inst_84300b394190,@126.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_4111e7c8c50a,inst_c610de0261b2,@126.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_82d056217734,inst_a1c78b783be3,@163.com,SARS-CoV-2 Receptor Binding Domain (RBD)
General Life Science Customers,anon_eb93e35be4aa,inst_10aeb03d8657,@uth.gr,H5N1 Hemagglutinin (HA) receptor-binding site
General Life Science Customers,anon_6834d5a9feee,inst_10aeb03d8657,Verified email at uth.gr,H5N1 Hemagglutinin (HA) receptor-binding site
General Life Science Customers,anon_62cf7ffa5a7f,inst_0def6f755b62,Verified email at mail.nih.gov,H5N1 Hemagglutinin (HA) receptor-binding site
General Life Science Customers,anon_a0ade3749706,inst_9123ecd850b6,@pharm.uoa.gr,H5N1 Hemagglutinin (HA) receptor-binding site
General Life Science Customers,anon_e1bf63bd0d28,inst_10aeb03d8657,@uoi.gr,H5N1 Hemagglutinin (HA) receptor-binding site
General Life Science Customers,anon_d5421d93c595,inst_bdb2bd03ca56,@bdgene.cn,Newcastle disease virus fusion protein cleavage site
General Life Science Customers,anon_7f1ac6919855,inst_bdb2bd03ca56,@bdgene.cn,Newcastle disease virus fusion protein cleavage site
General Life Science Customers,anon_ef51f244f18e,inst_3da5c25ce37e,@njnu.edu.cn,Kaposi's sarcoma-associated herpesvirus K1
General Life Science Customers,anon_e3f88832a2dc,inst_3da5c25ce37e,@njust.edu.cn,Kaposi's sarcoma-associated herpesvirus K1
Sanctioned Institution Customers,anon_d8e9748df044,inst_ca3a7c5f885b,@yahoo.com,H5N1 Hemagglutinin (HA) receptor-binding site
Sanctioned Institution Customers,anon_154dd9004568,inst_ca3a7c5f885b,Verified email at bmsu.ac.ir,Newcastle disease virus fusion protein cleavage site
Sanctioned Institution Customers,anon_b99f0fd1480e,inst_ca3a7c5f885b,@yahoo.com,Newcastle disease virus fusion protein cleavage site
Sanctioned Institution Customers,anon_f5e8a3a2d756,inst_1f8f13e6cf9c,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_638593379f8c,inst_9994ac9866a7,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_8d1bd718d5b6,inst_1f8f13e6cf9c,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_027b55113d42,inst_1f8f13e6cf9c,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_062e7445435f,inst_972d2461ee23,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_870280c4b0f0,inst_1f8f13e6cf9c,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_0a45eb4e4020,inst_972d2461ee23,Verified email at bmsu.ac.ir,SARS-CoV-2 Receptor Binding Domain (RBD)
Sanctioned Institution Customers,anon_8d0783352608,inst_fac71b1a11a7,@outlook.com,H5N1 Hemagglutinin (HA) receptor-binding site
Sanctioned Institution Customers,anon_3c98463d099e,inst_fac71b1a11a7,@163.com,H5N1 Hemagglutinin (HA) receptor-binding site
Sanctioned Institution Customers,anon_6f9110ae28c9,inst_fac71b1a11a7,Verified email at bmi.ac.cn,H5N1 Hemagglutinin (HA) receptor-binding site
Sanctioned Institution Customers,anon_4b597c466ff6,inst_d6b472c734a6,@126.com,Zika virus NS1 protein
Sanctioned Institution Customers,anon_636d79293338,inst_d6b472c734a6,Verified email at bmi.ac.cn,Zika virus NS1 protein
Sanctioned Institution Customers,anon_ea143fc44c88,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_e1674edf36bf,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_4573980856c3,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_ed78f260a461,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_1d07d67f8a8a,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_2f429cc1809b,inst_ddc33aa283b3,Verified email at mcb.nsc.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_94d4f224c0b4,inst_438976db8a0b,@rambler.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_cbe8fd6ce694,inst_438976db8a0b,Verified email at rambler.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_9fe0d38e0ee5,inst_56d6dc1efd56,Verified email at rambler.ru,SFTS virus nucleocapsid protein
Sanctioned Institution Customers,anon_aa54aba312ea,inst_696fdb296115,Verified email at rambler.ru,SFTS virus nucleocapsid protein
